[CRITICAL]2021-03-29 16:23:04,898: apply agv failed, count=0 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=13508

[CRITICAL]2021-03-29 16:23:05,049: apply agv failed, count=1 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=13508

[CRITICAL]2021-03-29 16:23:05,212: apply agv failed, count=2 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=13508

[CRITICAL]2021-03-29 16:23:05,377: apply agv failed, count=3 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=13508

[CRITICAL]2021-03-29 16:23:05,541: apply agv failed, count=4 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=13508

[CRITICAL]2021-03-29 16:23:05,646: apply failed, count=1 cause a error: ('apply agv failed3!', 'taskId', '60618e662b8c5349daa8cdae', 'loc', '17')
pid=8088, ppid=7060, tid=13508

[CRITICAL]2021-03-29 16:23:16,764: apply agv failed, count=0 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=13392

[CRITICAL]2021-03-29 16:23:16,973: apply agv failed, count=1 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=13392

[CRITICAL]2021-03-29 16:23:17,107: apply agv failed, count=2 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=13392

[CRITICAL]2021-03-29 16:23:17,286: apply agv failed, count=3 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=13392

[CRITICAL]2021-03-29 16:23:17,467: apply agv failed, count=4 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=13392

[CRITICAL]2021-03-29 16:23:17,586: apply failed, count=1 cause a error: ('apply agv failed3!', 'taskId', '60618e662b8c5349daa8cdae', 'loc', '17')
pid=8088, ppid=7060, tid=13392

[CRITICAL]2021-03-29 16:23:28,447: apply agv failed, count=0 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=448

[CRITICAL]2021-03-29 16:23:28,641: apply agv failed, count=1 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=448

[CRITICAL]2021-03-29 16:23:28,836: apply agv failed, count=2 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=448

[CRITICAL]2021-03-29 16:23:28,971: apply agv failed, count=3 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=448

[CRITICAL]2021-03-29 16:23:29,104: apply agv failed, count=4 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=448

[CRITICAL]2021-03-29 16:23:29,210: apply failed, count=1 cause a error: ('apply agv failed3!', 'taskId', '60618e662b8c5349daa8cdae', 'loc', '17')
pid=8088, ppid=7060, tid=448

[CRITICAL]2021-03-29 16:23:40,668: apply agv failed, count=0 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=12616

[CRITICAL]2021-03-29 16:23:40,851: apply agv failed, count=1 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=12616

[CRITICAL]2021-03-29 16:23:41,030: apply agv failed, count=2 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=12616

[CRITICAL]2021-03-29 16:23:41,179: apply agv failed, count=3 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=12616

[CRITICAL]2021-03-29 16:23:41,343: apply agv failed, count=4 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=12616

[CRITICAL]2021-03-29 16:23:41,447: apply failed, count=1 cause a error: ('apply agv failed3!', 'taskId', '60618e662b8c5349daa8cdae', 'loc', '17')
pid=8088, ppid=7060, tid=12616

[CRITICAL]2021-03-29 16:23:52,235: apply agv failed, count=0 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=1280

