[CRITICAL]2021-04-26 12:25:12,998: apply agv failed, count=0 cause a error: comba-ZXC-3F.AP666找不到可用的小车
pid=14228, ppid=7936, tid=10920

[CRITICAL]2021-04-26 12:25:13,337: apply agv failed, count=1 cause a error: comba-ZXC-3F.AP666找不到可用的小车
pid=14228, ppid=7936, tid=10920

[CRITICAL]2021-04-26 12:25:13,665: apply agv failed, count=2 cause a error: comba-ZXC-3F.AP666找不到可用的小车
pid=14228, ppid=7936, tid=10920

[CRITICAL]2021-04-26 12:25:13,988: apply agv failed, count=3 cause a error: comba-ZXC-3F.AP666找不到可用的小车
pid=14228, ppid=7936, tid=10920

[CRITICAL]2021-04-26 12:25:14,485: apply agv failed, count=4 cause a error: comba-ZXC-3F.AP666找不到可用的小车
pid=14228, ppid=7936, tid=10920

[CRITICAL]2021-04-26 12:25:14,613: apply failed, count=1 cause a error: ('apply agv failed3!', 'taskId', '60863fad4a46a7db4c19d60a', 'loc', 'AP666')
pid=14228, ppid=7936, tid=10920

[CRITICAL]2021-04-26 12:25:28,981: apply agv failed, count=0 cause a error: comba-ZXC-3F.AP666找不到可用的小车
pid=14228, ppid=7936, tid=12392

[CRITICAL]2021-04-26 12:25:29,479: apply agv failed, count=1 cause a error: comba-ZXC-3F.AP666找不到可用的小车
pid=14228, ppid=7936, tid=12392

[CRITICAL]2021-04-26 12:25:29,836: apply agv failed, count=2 cause a error: comba-ZXC-3F.AP666找不到可用的小车
pid=14228, ppid=7936, tid=12392

[CRITICAL]2021-04-26 12:25:30,216: apply agv failed, count=3 cause a error: comba-ZXC-3F.AP666找不到可用的小车
pid=14228, ppid=7936, tid=12392

