[CRITICAL]2021-05-24 16:32:08,172: apply agv failed, count=0 cause a error: comba-ZSC-F1-F3.LM148找不到可用的小车
pid=8996, ppid=9052, tid=7004

[CRITICAL]2021-05-24 16:33:01,976: apply agv failed, count=0 cause a error: comba-ZSC-F1-F3.LM148找不到可用的小车
pid=8996, ppid=9052, tid=5724

[CRITICAL]2021-05-24 16:33:02,464: apply agv failed, count=1 cause a error: comba-ZSC-F1-F3.LM148找不到可用的小车
pid=8996, ppid=9052, tid=7004

[CRITICAL]2021-05-24 16:33:02,732: apply agv failed, count=0 cause a error: comba-ZSC-F1-F3.LM148找不到可用的小车
pid=8996, ppid=9052, tid=4020

[CRITICAL]2021-05-24 16:33:02,892: apply agv failed, count=1 cause a error: comba-ZSC-F1-F3.LM148找不到可用的小车
pid=8996, ppid=9052, tid=5724

[CRITICAL]2021-05-24 16:33:02,978: apply agv failed, count=2 cause a error: comba-ZSC-F1-F3.LM148找不到可用的小车
pid=8996, ppid=9052, tid=7004

[CRITICAL]2021-05-24 16:33:03,089: apply agv failed, count=1 cause a error: comba-ZSC-F1-F3.LM148找不到可用的小车
pid=8996, ppid=9052, tid=4020

[CRITICAL]2021-05-24 16:33:03,265: apply agv failed, count=2 cause a error: comba-ZSC-F1-F3.LM148找不到可用的小车
pid=8996, ppid=9052, tid=5724

[CRITICAL]2021-05-24 16:33:03,371: apply agv failed, count=3 cause a error: comba-ZSC-F1-F3.LM148找不到可用的小车
pid=8996, ppid=9052, tid=7004

[CRITICAL]2021-05-24 16:33:03,493: apply agv failed, count=2 cause a error: comba-ZSC-F1-F3.LM148找不到可用的小车
pid=8996, ppid=9052, tid=4020

