[INFO]2020-07-16 11:28:13,429: log files at E:\python_work\akm_office\door\log
[INFO]2020-07-16 11:28:13,431: The signal to open the door has been sent,  doorIP:192.168.252.195
[DEBUG]2020-07-16 11:28:13,603: send to door module:192.168.252.195, values:outbuf[16] 55 00 00 00 00 AA 03 06 80 00 00 00 00 00 88 16
[DEBUG]2020-07-16 11:28:13,968: read from door module:192.168.252.195, values:inbuf[13] 55 00 00 00 00 AA 83 03 80 01 00 06 16
[DEBUG]2020-07-16 11:28:19,021: send to door module:192.168.252.195, values:outbuf[11] 55 00 00 00 00 AA 00 01 2F 2F 16
[INFO]2020-07-16 11:28:19,515: read from door module: 192.168.252.195, values:inbuf[15] 55 00 00 00 00 AA 80 05 2F 00 00 00 00 B3 16
[INFO]2020-07-16 11:28:24,519: The signal to close the door has been sent,  doorIP:192.168.252.195
[DEBUG]2020-07-16 11:28:24,745: send to door module:192.168.252.195, values:outbuf[16] 55 00 00 00 00 AA 03 06 90 00 00 00 00 00 98 16
[DEBUG]2020-07-16 11:28:25,267: read from door module:192.168.252.195, values:inbuf[13] 55 00 00 00 00 AA 83 03 90 00 00 15 16
[INFO]2020-07-16 11:28:32,270: The signal to open the door has been sent,  doorIP:192.168.252.195
[DEBUG]2020-07-16 11:28:32,742: send to door module:192.168.252.195, values:outbuf[16] 55 00 00 00 00 AA 03 06 80 00 00 00 00 00 88 16
[DEBUG]2020-07-16 11:28:33,336: read from door module:192.168.252.195, values:inbuf[13] 55 00 00 00 00 AA 83 03 80 01 00 06 16
[DEBUG]2020-07-16 11:28:38,448: send to door module:192.168.252.195, values:outbuf[11] 55 00 00 00 00 AA 00 01 2F 2F 16
[INFO]2020-07-16 11:28:39,250: read from door module: 192.168.252.195, values:inbuf[15] 55 00 00 00 00 AA 80 05 2F 00 00 01 00 B4 16
[INFO]2020-07-16 11:28:46,253: The signal to close the door has been sent,  doorIP:192.168.252.195
[DEBUG]2020-07-16 11:28:49,554: send to door module:192.168.252.195, values:outbuf[16] 55 00 00 00 00 AA 03 06 90 00 00 00 00 00 98 16
[DEBUG]2020-07-16 11:28:50,299: read from door module:192.168.252.195, values:inbuf[13] 55 00 00 00 00 AA 83 03 90 00 00 15 16
