[CRITICAL]2021-06-16 19:10:24,976: agv thread cause a error: AGV01执行move AP6取消,taskId:60c9db4d7c084fdc89937f4b_2
pid=10184, ppid=1492, tid=9480

[CRITICAL]2021-06-16 19:10:36,695: apply agv failed, count=0 cause a error: HLD.AP6找不到可用的小车
pid=10184, ppid=1492, tid=268

[CRITICAL]2021-06-16 19:10:36,928: apply agv failed, count=1 cause a error: HLD.AP6找不到可用的小车
pid=10184, ppid=1492, tid=268

[CRITICAL]2021-06-16 19:10:37,105: apply agv failed, count=2 cause a error: HLD.AP6找不到可用的小车
pid=10184, ppid=1492, tid=268

[CRITICAL]2021-06-16 19:10:37,269: apply agv failed, count=3 cause a error: HLD.AP6找不到可用的小车
pid=10184, ppid=1492, tid=268

[CRITICAL]2021-06-16 19:10:37,444: apply agv failed, count=4 cause a error: HLD.AP6找不到可用的小车
pid=10184, ppid=1492, tid=268

[CRITICAL]2021-06-16 19:10:37,538: apply failed, count=1 cause a error: ('apply agv failed3!', 'taskId', '60c9db577c084fdc89937f4c', 'loc', 'HLD.AP6')
pid=10184, ppid=1492, tid=268

[CRITICAL]2021-06-16 19:10:48,332: apply agv failed, count=0 cause a error: HLD.AP6找不到可用的小车
pid=10184, ppid=1492, tid=11504

[CRITICAL]2021-06-16 19:10:48,579: apply agv failed, count=1 cause a error: HLD.AP6找不到可用的小车
pid=10184, ppid=1492, tid=11504

[CRITICAL]2021-06-16 19:10:48,860: apply agv failed, count=2 cause a error: HLD.AP6找不到可用的小车
pid=10184, ppid=1492, tid=11504

[CRITICAL]2021-06-16 19:10:49,309: apply agv failed, count=3 cause a error: HLD.AP6找不到可用的小车
pid=10184, ppid=1492, tid=11504

[CRITICAL]2021-06-16 19:10:49,604: apply agv failed, count=4 cause a error: HLD.AP6找不到可用的小车
pid=10184, ppid=1492, tid=11504

[CRITICAL]2021-06-16 19:10:49,741: apply failed, count=1 cause a error: ('apply agv failed3!', 'taskId', '60c9db577c084fdc89937f4c', 'loc', 'HLD.AP6')
pid=10184, ppid=1492, tid=11504

[CRITICAL]2021-06-16 19:11:00,547: apply agv failed, count=0 cause a error: HLD.AP6找不到可用的小车
pid=10184, ppid=1492, tid=10944

[CRITICAL]2021-06-16 19:11:00,754: apply agv failed, count=1 cause a error: HLD.AP6找不到可用的小车
pid=10184, ppid=1492, tid=10944

[CRITICAL]2021-06-16 19:11:00,940: apply agv failed, count=2 cause a error: HLD.AP6找不到可用的小车
pid=10184, ppid=1492, tid=10944

[CRITICAL]2021-06-16 19:11:01,158: apply agv failed, count=3 cause a error: HLD.AP6找不到可用的小车
pid=10184, ppid=1492, tid=10944

[CRITICAL]2021-06-16 19:11:01,396: apply agv failed, count=4 cause a error: HLD.AP6找不到可用的小车
pid=10184, ppid=1492, tid=10944

[CRITICAL]2021-06-16 19:11:01,555: apply failed, count=1 cause a error: ('apply agv failed3!', 'taskId', '60c9db577c084fdc89937f4c', 'loc', 'HLD.AP6')
pid=10184, ppid=1492, tid=10944

