[CRITICAL]2021-04-28 14:47:34,890: apply agv failed, count=0 cause a error: meiwei423.1找不到可用的小车
pid=17576, ppid=12760, tid=1596

[CRITICAL]2021-04-28 14:47:35,111: apply agv failed, count=1 cause a error: meiwei423.1找不到可用的小车
pid=17576, ppid=12760, tid=1596

[CRITICAL]2021-04-28 14:47:35,335: apply agv failed, count=2 cause a error: meiwei423.1找不到可用的小车
pid=17576, ppid=12760, tid=1596

[CRITICAL]2021-04-28 14:47:35,556: apply agv failed, count=3 cause a error: meiwei423.1找不到可用的小车
pid=17576, ppid=12760, tid=1596

[CRITICAL]2021-04-28 14:47:35,746: apply agv failed, count=4 cause a error: meiwei423.1找不到可用的小车
pid=17576, ppid=12760, tid=1596

[CRITICAL]2021-04-28 14:47:35,875: apply failed, count=1 cause a error: ('apply agv failed3!', 'taskId', '608905048691fe2ae57c9caa', 'loc', '1')
pid=17576, ppid=12760, tid=1596

[CRITICAL]2021-04-28 14:47:48,100: apply agv failed, count=0 cause a error: meiwei423.1找不到可用的小车
pid=17576, ppid=12760, tid=4108

[CRITICAL]2021-04-28 14:47:48,257: apply agv failed, count=1 cause a error: meiwei423.1找不到可用的小车
pid=17576, ppid=12760, tid=4108

[CRITICAL]2021-04-28 14:47:48,508: apply agv failed, count=2 cause a error: meiwei423.1找不到可用的小车
pid=17576, ppid=12760, tid=4108

[CRITICAL]2021-04-28 14:47:48,731: apply agv failed, count=3 cause a error: meiwei423.1找不到可用的小车
pid=17576, ppid=12760, tid=4108

[CRITICAL]2021-04-28 14:47:48,887: apply agv failed, count=4 cause a error: meiwei423.1找不到可用的小车
pid=17576, ppid=12760, tid=4108

[CRITICAL]2021-04-28 14:47:49,029: apply failed, count=1 cause a error: ('apply agv failed3!', 'taskId', '608905048691fe2ae57c9caa', 'loc', '1')
pid=17576, ppid=12760, tid=4108

[CRITICAL]2021-04-28 14:48:00,293: apply agv failed, count=0 cause a error: meiwei423.1找不到可用的小车
pid=17576, ppid=12760, tid=18304

[CRITICAL]2021-04-28 14:48:00,532: apply agv failed, count=1 cause a error: meiwei423.1找不到可用的小车
pid=17576, ppid=12760, tid=18304

[CRITICAL]2021-04-28 14:48:00,705: apply agv failed, count=2 cause a error: meiwei423.1找不到可用的小车
pid=17576, ppid=12760, tid=18304

[CRITICAL]2021-04-28 14:48:00,945: apply agv failed, count=3 cause a error: meiwei423.1找不到可用的小车
pid=17576, ppid=12760, tid=18304

[CRITICAL]2021-04-28 14:48:01,228: apply agv failed, count=4 cause a error: meiwei423.1找不到可用的小车
pid=17576, ppid=12760, tid=18304

[CRITICAL]2021-04-28 14:48:01,340: apply failed, count=1 cause a error: ('apply agv failed3!', 'taskId', '608905048691fe2ae57c9caa', 'loc', '1')
pid=17576, ppid=12760, tid=18304

[CRITICAL]2021-04-28 14:48:12,638: apply agv failed, count=0 cause a error: meiwei423.1找不到可用的小车
pid=17576, ppid=12760, tid=7880

[CRITICAL]2021-04-28 14:48:12,764: apply agv failed, count=1 cause a error: meiwei423.1找不到可用的小车
pid=17576, ppid=12760, tid=7880

[CRITICAL]2021-04-28 14:48:12,964: apply agv failed, count=2 cause a error: meiwei423.1找不到可用的小车
pid=17576, ppid=12760, tid=7880

[CRITICAL]2021-04-28 14:48:13,150: apply agv failed, count=3 cause a error: meiwei423.1找不到可用的小车
pid=17576, ppid=12760, tid=7880

[CRITICAL]2021-04-28 14:48:13,358: apply agv failed, count=4 cause a error: meiwei423.1找不到可用的小车
pid=17576, ppid=12760, tid=7880

[CRITICAL]2021-04-28 14:48:13,453: apply failed, count=1 cause a error: ('apply agv failed3!', 'taskId', '608905048691fe2ae57c9caa', 'loc', '1')
pid=17576, ppid=12760, tid=7880

[CRITICAL]2021-04-28 14:48:24,781: apply agv failed, count=0 cause a error: meiwei423.1找不到可用的小车
pid=17576, ppid=12760, tid=10624

[CRITICAL]2021-04-28 14:48:24,954: apply agv failed, count=1 cause a error: meiwei423.1找不到可用的小车
pid=17576, ppid=12760, tid=10624

[CRITICAL]2021-04-28 14:48:25,159: apply agv failed, count=2 cause a error: meiwei423.1找不到可用的小车
pid=17576, ppid=12760, tid=10624

[CRITICAL]2021-04-28 14:48:25,314: apply agv failed, count=3 cause a error: meiwei423.1找不到可用的小车
pid=17576, ppid=12760, tid=10624

[CRITICAL]2021-04-28 14:48:25,502: apply agv failed, count=4 cause a error: meiwei423.1找不到可用的小车
pid=17576, ppid=12760, tid=10624

